# of Geofences,Geofence Service Recieved,Carer Device Recieved
2.000000000000000000e+02,1.214062500000000000e+01,3.689267578125000000e+02
2.000000000000000000e+02,1.214062500000000000e+01,3.689189453125000000e+02
3.000000000000000000e+02,1.214160156250000000e+01,5.529111328125000000e+02
3.000000000000000000e+02,1.213867187500000000e+01,5.529160156250000000e+02
3.000000000000000000e+02,1.213867187500000000e+01,5.528974609375000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529199218750000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529062500000000000e+02
3.000000000000000000e+02,1.214257812500000000e+01,5.528896484375000000e+02
3.000000000000000000e+02,1.214355468750000000e+01,5.529111328125000000e+02
3.000000000000000000e+02,1.213867187500000000e+01,5.529121093750000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529003906250000000e+02
3.000000000000000000e+02,1.214062500000000000e+01,5.529072265625000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529082031250000000e+02
3.000000000000000000e+02,1.213769531250000000e+01,5.529062500000000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529111328125000000e+02
3.000000000000000000e+02,1.214160156250000000e+01,5.529072265625000000e+02
3.000000000000000000e+02,1.214355468750000000e+01,5.529082031250000000e+02
3.000000000000000000e+02,1.214160156250000000e+01,5.529101562500000000e+02
3.000000000000000000e+02,1.214062500000000000e+01,5.529140625000000000e+02
3.000000000000000000e+02,1.214062500000000000e+01,5.529091796875000000e+02
3.000000000000000000e+02,1.214257812500000000e+01,5.529130859375000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529072265625000000e+02
3.000000000000000000e+02,1.214257812500000000e+01,5.529072265625000000e+02
3.000000000000000000e+02,1.214160156250000000e+01,5.529208984375000000e+02
3.000000000000000000e+02,1.214257812500000000e+01,5.529023437500000000e+02
3.000000000000000000e+02,1.214160156250000000e+01,5.529189453125000000e+02
3.000000000000000000e+02,1.214062500000000000e+01,5.529130859375000000e+02
3.000000000000000000e+02,1.214355468750000000e+01,5.529052734375000000e+02
3.000000000000000000e+02,1.214355468750000000e+01,5.529150390625000000e+02
3.000000000000000000e+02,1.213964843750000000e+01,5.529160156250000000e+02
3.000000000000000000e+02,1.214257812500000000e+01,5.529111328125000000e+02
3.000000000000000000e+02,1.214062500000000000e+01,5.529091796875000000e+02
