# of Queries,Total Runtime,Throughput,Latency
1.000000000000000000e+00,3.571175813674926758e+00,2.800198176104210512e-01,3.571175813674926758e+00
1.000000000000000000e+00,3.621483802795410156e+00,2.761299109575207078e-01,3.621483802795410156e+00
1.000000000000000000e+00,3.554641246795654297e+00,2.813223418541755949e-01,3.554641246795654297e+00
1.000000000000000000e+00,3.608413219451904297e+00,2.771301231824812583e-01,3.608413219451904297e+00
1.000000000000000000e+01,1.239272570610046387e+01,8.069249846365422751e-01,1.239272570610046476e+00
1.000000000000000000e+01,1.220387411117553711e+01,8.194119268112272092e-01,1.220387411117553667e+00
1.000000000000000000e+01,1.313259744644165039e+01,7.614639861446110825e-01,1.313259744644164950e+00
1.000000000000000000e+01,1.282317852973937988e+01,7.798378519653380581e-01,1.282317852973938077e+00
1.000000000000000000e+01,1.292574739456176758e+01,7.736496540391378796e-01,1.292574739456176847e+00
1.000000000000000000e+01,1.247737956047058105e+01,8.014503327029391944e-01,1.247737956047058061e+00
1.000000000000000000e+01,1.221937060356140137e+01,8.183727562109824882e-01,1.221937060356140137e+00
1.000000000000000000e+01,1.222894763946533203e+01,8.177318518993360597e-01,1.222894763946533292e+00
1.000000000000000000e+01,1.217689204216003418e+01,8.212276141873489088e-01,1.217689204216003462e+00
1.000000000000000000e+01,1.226132941246032715e+01,8.155722486207492850e-01,1.226132941246032670e+00
1.000000000000000000e+01,1.231879711151123047e+01,8.117675702813188510e-01,1.231879711151123047e+00
1.000000000000000000e+01,1.215872383117675781e+01,8.224547361096011810e-01,1.215872383117675870e+00
1.000000000000000000e+01,1.222747564315795898e+01,8.178302939900459201e-01,1.222747564315795898e+00
1.000000000000000000e+01,1.236914253234863281e+01,8.084634786807017859e-01,1.236914253234863370e+00
1.000000000000000000e+01,1.230843973159790039e+01,8.124506613399800070e-01,1.230843973159789995e+00
1.000000000000000000e+01,1.236873340606689453e+01,8.084902205988994117e-01,1.236873340606689409e+00
1.000000000000000000e+01,1.240416264533996582e+01,8.061809802015802440e-01,1.240416264533996671e+00
1.000000000000000000e+01,1.233019018173217773e+01,8.110174987256500989e-01,1.233019018173217685e+00
1.000000000000000000e+01,1.220397210121154785e+01,8.194053474611967536e-01,1.220397210121154874e+00
1.000000000000000000e+01,1.235008049011230469e+01,8.097113219631385528e-01,1.235008049011230513e+00
1.000000000000000000e+01,1.219397735595703125e+01,8.200769698095901061e-01,1.219397735595703081e+00
1.000000000000000000e+01,1.223247528076171875e+01,8.174960317089067230e-01,1.223247528076171875e+00
1.000000000000000000e+01,1.235916471481323242e+01,8.091161685072757459e-01,1.235916471481323331e+00
1.000000000000000000e+01,1.226548314094543457e+01,8.152960535747140192e-01,1.226548314094543457e+00
1.000000000000000000e+01,1.234955143928527832e+01,8.097460097367507048e-01,1.234955143928527788e+00
1.000000000000000000e+01,1.236730074882507324e+01,8.085838780099228185e-01,1.236730074882507413e+00
1.000000000000000000e+01,1.232998776435852051e+01,8.110308129344895312e-01,1.232998776435852095e+00
1.000000000000000000e+01,1.228091287612915039e+01,8.142717158622106988e-01,1.228091287612915083e+00
1.000000000000000000e+01,1.232762789726257324e+01,8.111860678582424322e-01,1.232762789726257413e+00
1.000000000000000000e+01,1.230280041694641113e+01,8.128230696342571004e-01,1.230280041694641113e+00
5.000000000000000000e+01,5.357650351524353027e+01,9.332449249095557953e-01,1.071530070304870685e+00
5.000000000000000000e+01,5.399396014213562012e+01,9.260295016031093729e-01,1.079879202842712438e+00
5.000000000000000000e+01,5.400442934036254883e+01,9.258499832462878665e-01,1.080088586807250950e+00
5.000000000000000000e+01,5.380274701118469238e+01,9.293205789214783463e-01,1.076054940223693857e+00
5.000000000000000000e+01,5.389087367057800293e+01,9.278008797118045825e-01,1.077817473411559979e+00
5.000000000000000000e+01,5.393124771118164062e+01,9.271063089021289727e-01,1.078624954223632804e+00
5.000000000000000000e+01,5.405067515373229980e+01,9.250578250463797891e-01,1.081013503074645943e+00
