# of Queries,Total Runtime,Throughput,Latency
1.000000000000000000e+01,1.248923444747924805e+01,8.006895892660850222e-01,1.248923444747924716e+00
1.000000000000000000e+01,1.257624554634094238e+01,7.951498691045754130e-01,1.257624554634094283e+00
1.000000000000000000e+01,1.218927145004272461e+01,8.203935765139555025e-01,1.218927145004272461e+00
1.000000000000000000e+01,1.231865334510803223e+01,8.117770441175038432e-01,1.231865334510803267e+00
1.000000000000000000e+01,1.241634654998779297e+01,8.053898914419259647e-01,1.241634654998779341e+00
1.000000000000000000e+01,1.228225684165954590e+01,8.141826155337773541e-01,1.228225684165954679e+00
5.000000000000000000e+01,5.398473191261291504e+01,9.261877984489550464e-01,1.079694638252258310e+00
5.000000000000000000e+01,5.418970274925231934e+01,9.226845223964598164e-01,1.083794054985046440e+00
5.000000000000000000e+01,5.420617747306823730e+01,9.224040936080019071e-01,1.084123549461364799e+00
5.000000000000000000e+01,5.427886319160461426e+01,9.211688871135673695e-01,1.085577263832092187e+00
5.000000000000000000e+01,5.416836333274841309e+01,9.230480103830577265e-01,1.083367266654968297e+00
5.000000000000000000e+01,5.423653221130371094e+01,9.218878486773762759e-01,1.084730644226074237e+00
5.000000000000000000e+01,5.413205194473266602e+01,9.236671842968122714e-01,1.082641038894653240e+00
5.000000000000000000e+01,5.430034899711608887e+01,9.208043948788527944e-01,1.086006979942321760e+00
5.000000000000000000e+01,5.430478024482727051e+01,9.207292576193176759e-01,1.086095604896545330e+00
5.000000000000000000e+01,5.413222670555114746e+01,9.236642023239107768e-01,1.082644534111022905e+00
5.000000000000000000e+01,5.410262036323547363e+01,9.241696550797132703e-01,1.082052407264709526e+00
5.000000000000000000e+01,5.406836438179016113e+01,9.247551793307001722e-01,1.081367287635803143e+00
5.000000000000000000e+01,5.430375051498413086e+01,9.207467168626485288e-01,1.086075010299682564e+00
5.000000000000000000e+01,5.435245251655578613e+01,9.199216904659448524e-01,1.087049050331115652e+00
5.000000000000000000e+01,5.410373735427856445e+01,9.241505752660534867e-01,1.082074747085571387e+00
5.000000000000000000e+01,5.431273269653320312e+01,9.205944447569937017e-01,1.086254653930664116e+00
5.000000000000000000e+01,5.426074433326721191e+01,9.214764857058005409e-01,1.085214886665344158e+00
5.000000000000000000e+01,5.417137646675109863e+01,9.229966683731698485e-01,1.083427529335021955e+00
5.000000000000000000e+01,5.432432842254638672e+01,9.203979405155122695e-01,1.086486568450927725e+00
5.000000000000000000e+01,5.432023406028747559e+01,9.204673150801844228e-01,1.086404681205749512e+00
5.000000000000000000e+01,5.423921227455139160e+01,9.218422964350387883e-01,1.084784245491027921e+00
5.000000000000000000e+01,5.407159829139709473e+01,9.246998716506426019e-01,1.081431965827941877e+00
5.000000000000000000e+01,5.416374731063842773e+01,9.231266757309345428e-01,1.083274946212768652e+00
5.000000000000000000e+01,5.402932906150817871e+01,9.254233000576205237e-01,1.080586581230163601e+00
5.000000000000000000e+01,5.412011456489562988e+01,9.238709193796109664e-01,1.082402291297912544e+00
5.000000000000000000e+01,5.428110361099243164e+01,9.211308664305515315e-01,1.085622072219848633e+00
5.000000000000000000e+01,5.410555291175842285e+01,9.241195646137424502e-01,1.082111058235168510e+00
5.000000000000000000e+01,5.425622177124023438e+01,9.215532959669457957e-01,1.085124435424804634e+00
5.000000000000000000e+01,5.393897080421447754e+01,9.269735639096267077e-01,1.078779416084289622e+00
5.000000000000000000e+01,5.406382393836975098e+01,9.248328430670696987e-01,1.081276478767394966e+00
1.000000000000000000e+02,1.047463355064392090e+02,9.546873359961367544e-01,1.047463355064392143e+00
1.000000000000000000e+02,1.050114378929138184e+02,9.522772186204681022e-01,1.050114378929138281e+00
1.000000000000000000e+02,1.049515378475189209e+02,9.528207213627220007e-01,1.049515378475189165e+00
1.000000000000000000e+02,1.051884140968322754e+02,9.506750421005869534e-01,1.051884140968322834e+00
1.000000000000000000e+02,1.048954558372497559e+02,9.533301438258174887e-01,1.048954558372497514e+00
1.000000000000000000e+02,1.046236188411712646e+02,9.558071218298196392e-01,1.046236188411712620e+00
1.000000000000000000e+02,1.050754332542419434e+02,9.516972417143276797e-01,1.050754332542419345e+00
1.000000000000000000e+02,1.047799787521362305e+02,9.543808005206454448e-01,1.047799787521362269e+00
1.000000000000000000e+02,1.049987375736236572e+02,9.523924030980028821e-01,1.049987375736236572e+00
1.000000000000000000e+02,1.047545197010040283e+02,9.546127487904614295e-01,1.047545197010040230e+00
1.000000000000000000e+02,1.043946740627288818e+02,9.579032733021590751e-01,1.043946740627288872e+00
1.000000000000000000e+02,1.032569749355316162e+02,9.684575793783896103e-01,1.032569749355316091e+00
1.000000000000000000e+02,1.034182267189025879e+02,9.669475408025168806e-01,1.034182267189025950e+00
1.000000000000000000e+02,1.034906961917877197e+02,9.662704347324245768e-01,1.034906961917877233e+00
1.000000000000000000e+02,1.036167128086090088e+02,9.650952755537665073e-01,1.036167128086090017e+00
1.000000000000000000e+02,1.031560266017913818e+02,9.694053105207856014e-01,1.031560266017913730e+00
1.000000000000000000e+02,1.037355091571807861e+02,9.639900629251193509e-01,1.037355091571807941e+00
1.000000000000000000e+02,1.036641311645507812e+02,9.646538187954853960e-01,1.036641311645507768e+00
1.000000000000000000e+02,1.029490525722503662e+02,9.713542524329623618e-01,1.029490525722503769e+00
1.000000000000000000e+02,1.032733247280120850e+02,9.683042573032973888e-01,1.032733247280120947e+00
1.000000000000000000e+02,1.034234647750854492e+02,9.668985681099502294e-01,1.034234647750854386e+00
1.000000000000000000e+02,1.033139193058013916e+02,9.679237867649523874e-01,1.033139193058013827e+00
1.000000000000000000e+02,1.034103229045867920e+02,9.670214461303502373e-01,1.034103229045867822e+00
1.000000000000000000e+02,1.035661842823028564e+02,9.655661323527949813e-01,1.035661842823028644e+00
1.000000000000000000e+02,1.038695261478424072e+02,9.627462809223301665e-01,1.038695261478424170e+00
1.000000000000000000e+02,1.033317627906799316e+02,9.677566442234309951e-01,1.033317627906799263e+00
1.000000000000000000e+02,1.037111194133758545e+02,9.642167644668463433e-01,1.037111194133758518e+00
1.000000000000000000e+02,1.034805617332458496e+02,9.663650672653081308e-01,1.034805617332458461e+00
1.000000000000000000e+02,1.032634680271148682e+02,9.683966838470120519e-01,1.032634680271148575e+00
1.000000000000000000e+02,1.044194283485412598e+02,9.576761871000704085e-01,1.044194283485412544e+00
