# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
2.000000000000000000e+02,1.543122768402099609e+00,9.411966323852539062e+00,1.382787919044494629e+01,2.478296828269958496e+01
2.000000000000000000e+02,1.496355295181274414e+00,9.354744911193847656e+00,1.391421866416931152e+01,2.476531887054443359e+01
2.000000000000000000e+02,1.519214630126953125e+00,9.324120283126831055e+00,1.382374453544616699e+01,2.466707944869995117e+01
2.000000000000000000e+02,1.527076721191406250e+00,9.387759447097778320e+00,1.392876434326171875e+01,2.484360051155090332e+01
2.000000000000000000e+02,1.568043947219848633e+00,9.484102964401245117e+00,1.384933757781982422e+01,2.490148448944091797e+01
2.000000000000000000e+02,1.526612997055053711e+00,9.538146734237670898e+00,1.383392262458801270e+01,2.489868235588073730e+01
2.000000000000000000e+02,1.511513948440551758e+00,9.508214473724365234e+00,1.382951116561889648e+01,2.484923958778381348e+01
2.000000000000000000e+02,1.493248224258422852e+00,9.485878705978393555e+00,1.388471913337707520e+01,2.486384606361389160e+01
2.000000000000000000e+02,1.553160667419433594e+00,9.415890932083129883e+00,1.373422598838806152e+01,2.470327758789062500e+01
2.000000000000000000e+02,1.491094112396240234e+00,9.462725877761840820e+00,1.373429083824157715e+01,2.468811082839965820e+01
2.000000000000000000e+02,1.522868633270263672e+00,9.472678661346435547e+00,1.386578631401062012e+01,2.486133360862731934e+01
2.000000000000000000e+02,1.519370079040527344e+00,9.559808254241943359e+00,1.385751342773437500e+01,2.493669176101684570e+01
2.000000000000000000e+02,1.493074417114257812e+00,9.371169805526733398e+00,1.387724184989929199e+01,2.474148607254028320e+01
2.000000000000000000e+02,1.506440401077270508e+00,9.360222101211547852e+00,1.388324785232543945e+01,2.474991035461425781e+01
2.000000000000000000e+02,1.583380222320556641e+00,9.336802244186401367e+00,1.393438935279846191e+01,2.485457181930541992e+01
2.000000000000000000e+02,1.562595129013061523e+00,9.445916652679443359e+00,1.382856035232543945e+01,2.483707213401794434e+01
