# of Geofences,Runtime Encrypt,Runtime Compute,Runtime Evaluate,Runtime Total
1.000000000000000000e+01,7.519745826721191406e-01,4.412825107574462891e-01,6.795122623443603516e-01,1.872769355773925781e+00
1.000000000000000000e+01,7.725257873535156250e-01,4.384031295776367188e-01,7.040510177612304688e-01,1.914979934692382812e+00
1.000000000000000000e+01,7.503480911254882812e-01,4.311387538909912109e-01,6.836338043212890625e-01,1.865120649337768555e+00
1.000000000000000000e+01,7.670934200286865234e-01,4.247844219207763672e-01,6.837153434753417969e-01,1.875593185424804688e+00
1.000000000000000000e+01,7.520098686218261719e-01,4.269192218780517578e-01,6.693167686462402344e-01,1.848245859146118164e+00
1.000000000000000000e+01,7.771337032318115234e-01,4.362773895263671875e-01,7.052638530731201172e-01,1.918674945831298828e+00
1.000000000000000000e+01,7.363400459289550781e-01,4.314243793487548828e-01,6.911423206329345703e-01,1.858906745910644531e+00
1.000000000000000000e+01,7.333469390869140625e-01,4.395899772644042969e-01,6.879727840423583984e-01,1.860909700393676758e+00
1.000000000000000000e+01,7.374913692474365234e-01,4.263947010040283203e-01,7.231380939483642578e-01,1.887024164199829102e+00
1.000000000000000000e+01,7.380831241607666016e-01,4.353022575378417969e-01,6.784698963165283203e-01,1.851855278015136719e+00
1.000000000000000000e+01,7.867732048034667969e-01,4.351253509521484375e-01,6.746854782104492188e-01,1.896584033966064453e+00
1.000000000000000000e+01,7.299365997314453125e-01,4.510667324066162109e-01,6.975677013397216797e-01,1.878571033477783203e+00
1.000000000000000000e+01,8.353552818298339844e-01,4.278132915496826172e-01,6.712009906768798828e-01,1.934369564056396484e+00
1.000000000000000000e+01,7.509381771087646484e-01,4.305958747863769531e-01,6.927168369293212891e-01,1.874250888824462891e+00
1.000000000000000000e+02,7.676935195922851562e-01,4.508227825164794922e+00,6.969901084899902344e+00,1.224582242965698242e+01
1.000000000000000000e+02,7.458794116973876953e-01,4.451207637786865234e+00,7.033373117446899414e+00,1.223046016693115234e+01
1.000000000000000000e+02,7.356750965118408203e-01,4.483224868774414062e+00,6.864318132400512695e+00,1.208321809768676758e+01
1.000000000000000000e+02,7.481098175048828125e-01,4.531598567962646484e+00,6.966327905654907227e+00,1.224603629112243652e+01
1.000000000000000000e+02,7.397692203521728516e-01,4.444204092025756836e+00,6.987857818603515625e+00,1.217183113098144531e+01
1.000000000000000000e+02,7.370042800903320312e-01,4.627347469329833984e+00,7.061434745788574219e+00,1.242578649520874023e+01
1.000000000000000000e+02,7.458968162536621094e-01,4.524560928344726562e+00,7.058413505554199219e+00,1.232887125015258789e+01
1.000000000000000000e+02,7.207453250885009766e-01,4.389404058456420898e+00,6.913203954696655273e+00,1.202335333824157715e+01
1.000000000000000000e+02,7.390000820159912109e-01,4.479142427444458008e+00,7.204523801803588867e+00,1.242266631126403809e+01
1.000000000000000000e+02,7.452168464660644531e-01,4.438552856445312500e+00,6.876733064651489258e+00,1.206050276756286621e+01
1.000000000000000000e+02,7.341957092285156250e-01,4.584769248962402344e+00,6.992375373840332031e+00,1.231134033203125000e+01
1.000000000000000000e+02,7.321131229400634766e-01,4.481188297271728516e+00,6.986431121826171875e+00,1.219973254203796387e+01
1.000000000000000000e+02,7.307493686676025391e-01,4.412230253219604492e+00,6.935381650924682617e+00,1.207836127281188965e+01
1.000000000000000000e+02,7.393374443054199219e-01,4.484477996826171875e+00,6.902205944061279297e+00,1.212602138519287109e+01
1.000000000000000000e+02,7.470359802246093750e-01,4.359315395355224609e+00,6.998300552368164062e+00,1.210465192794799805e+01
1.000000000000000000e+02,7.368240356445312500e-01,4.445844411849975586e+00,6.919000387191772461e+00,1.210166883468627930e+01
1.000000000000000000e+02,7.271256446838378906e-01,4.411639451980590820e+00,6.940458297729492188e+00,1.207922339439392090e+01
1.000000000000000000e+02,7.525260448455810547e-01,4.362381219863891602e+00,6.872260808944702148e+00,1.198716807365417480e+01
1.000000000000000000e+02,7.247374057769775391e-01,4.487162590026855469e+00,7.025688886642456055e+00,1.223758888244628906e+01
1.000000000000000000e+02,7.376220226287841797e-01,4.504155635833740234e+00,6.953793764114379883e+00,1.219557142257690430e+01
1.000000000000000000e+02,7.598650455474853516e-01,4.467746496200561523e+00,7.027672052383422852e+00,1.225528359413146973e+01
1.000000000000000000e+02,7.669215202331542969e-01,4.491923570632934570e+00,6.942486047744750977e+00,1.220133113861083984e+01
1.000000000000000000e+02,7.288947105407714844e-01,4.479646682739257812e+00,6.950541496276855469e+00,1.215908288955688477e+01
1.000000000000000000e+02,7.467470169067382812e-01,4.595964431762695312e+00,7.078630447387695312e+00,1.242134189605712891e+01
1.000000000000000000e+02,7.341747283935546875e-01,4.440780639648437500e+00,6.964509963989257812e+00,1.213946533203125000e+01
1.000000000000000000e+02,7.493073940277099609e-01,4.499716997146606445e+00,7.093623161315917969e+00,1.234264755249023438e+01
1.000000000000000000e+02,7.275223731994628906e-01,4.409798383712768555e+00,6.907535314559936523e+00,1.204485607147216797e+01
1.000000000000000000e+02,7.334518432617187500e-01,4.444863557815551758e+00,7.003097057342529297e+00,1.218141245841979980e+01
1.000000000000000000e+02,7.982921600341796875e-01,4.495917558670043945e+00,7.016850471496582031e+00,1.231106019020080566e+01
1.000000000000000000e+02,7.515809535980224609e-01,4.466023206710815430e+00,6.965164422988891602e+00,1.218276858329772949e+01
2.000000000000000000e+02,7.710654735565185547e-01,9.000259637832641602e+00,1.392781925201416016e+01,2.369914436340332031e+01
2.000000000000000000e+02,7.535905838012695312e-01,9.024262428283691406e+00,1.391615438461303711e+01,2.369400739669799805e+01
2.000000000000000000e+02,7.733821868896484375e-01,8.946382761001586914e+00,1.388296985626220703e+01,2.360273480415344238e+01
2.000000000000000000e+02,7.420890331268310547e-01,8.881044387817382812e+00,1.371676731109619141e+01,2.333990073204040527e+01
