Repetition,Latitude,Longitude,Ground Truth,System Result,Final Result
1,51.65878642770642,-9.906989307352763,Inside,Inside,Correct
1,51.6478787151187,-9.910316529200088,Inside,Inside,Correct
1,51.64763843093692,-9.899440470701792,Inside,Inside,Correct
1,51.64716842627506,-9.899967834990582,Inside,Inside,Correct
1,51.651088361930086,-9.91042898931952,Inside,Inside,Correct
1,51.658554621360636,-9.911926047417905,Inside,Inside,Correct
1,51.655838451440616,-9.913796875912922,Inside,Inside,Correct
1,51.64516436029185,-9.912361178202323,Inside,Inside,Correct
1,51.65073523928375,-9.911330286815799,Inside,Inside,Correct
1,51.64882435162434,-9.903690638322635,Inside,Inside,Correct
1,51.65105263848521,-9.910680592960897,Inside,Inside,Correct
1,51.65304886807182,-9.903224731456724,Inside,Inside,Correct
1,51.6549928888441,-9.91280728170469,Inside,Inside,Correct
1,51.65910828234476,-9.905014153274914,Inside,Inside,Correct
1,51.64905552388818,-9.910644845879382,Inside,Inside,Correct
1,51.655052583069136,-9.911428373251068,Inside,Inside,Correct
1,51.64583396640764,-9.916264831650867,Inside,Inside,Correct
1,51.65261704226381,-9.909298741236368,Inside,Inside,Correct
1,51.65579731608462,-9.912761776262004,Inside,Inside,Correct
1,51.64455875535779,-9.916905198937384,Inside,Inside,Correct
1,51.652689073550775,-9.915373352260971,Inside,Inside,Correct
1,51.651052700370656,-9.9106911104817,Inside,Inside,Correct
1,51.64588751585354,-9.900620700785943,Inside,Inside,Correct
1,51.656505785501594,-9.919807707294309,Inside,Inside,Correct
1,51.65377638413408,-9.908663643361496,Inside,Inside,Correct
1,51.65047115534583,-9.910496817616014,Inside,Inside,Correct
1,51.647332671356466,-9.908647942602304,Inside,Inside,Correct
1,51.6534028412111,-9.90696307088179,Inside,Inside,Correct
1,51.65082771770021,-9.912176895146903,Inside,Inside,Correct
1,51.642470643608625,-9.91332879847569,Inside,Inside,Correct
1,51.64382929303602,-9.92365739407962,Outside,Outside,Correct
1,51.643178671068114,-9.892034878238269,Outside,Outside,Correct
1,51.64911418484364,-9.936448663270914,Outside,Outside,Correct
1,51.65692033955864,-9.932230720742405,Outside,Outside,Correct
1,51.64822498409046,-9.930433423783182,Outside,Outside,Correct
1,51.63556853228101,-9.912138421683524,Outside,Outside,Correct
1,51.6681651397657,-9.906864412343328,Outside,Outside,Correct
1,51.64006048657267,-9.906194248039037,Outside,Outside,Correct
1,51.63421910385854,-9.917185296841842,Outside,Outside,Correct
1,51.639855022902225,-9.891819716715517,Outside,Outside,Correct
1,51.63961475823462,-9.918651393309023,Outside,Outside,Correct
1,51.655766809875765,-9.888318310746131,Outside,Outside,Correct
1,51.6451424929941,-9.89582574689892,Outside,Outside,Correct
1,51.64798895997613,-9.882484452587821,Outside,Outside,Correct
1,51.63994561845547,-9.907528002331471,Outside,Outside,Correct
1,51.66273901036831,-9.932311966669047,Outside,Outside,Correct
1,51.649103443611324,-9.889816602861718,Outside,Outside,Correct
1,51.6534806933597,-9.895975173435046,Outside,Outside,Correct
1,51.64880334221869,-9.926310151806616,Outside,Outside,Correct
1,51.65371241029813,-9.938149179785215,Outside,Outside,Correct
1,51.666449158793355,-9.905398399455263,Outside,Outside,Correct
1,51.64004229395505,-9.911735346448177,Outside,Outside,Correct
1,51.65774933444966,-9.926420067346267,Outside,Outside,Correct
1,51.667920203898255,-9.905370881888249,Outside,Outside,Correct
1,51.66584903282123,-9.92425460426071,Outside,Outside,Correct
1,51.64272835374274,-9.92144271667654,Outside,Outside,Correct
1,51.66296949278029,-9.930555610786636,Outside,Outside,Correct
1,51.663445626537474,-9.916042071707277,Outside,Outside,Correct
1,51.66360494290216,-9.894455865107076,Outside,Outside,Correct
1,51.66259339052249,-9.917518125688122,Outside,Outside,Correct
1,51.646847922861994,-9.897865733143188,Outside,Outside,Correct
1,51.65766497099624,-9.920501450623053,Inside,Inside,Correct
1,51.65488160578344,-9.897565940791894,Inside,Inside,Correct
1,51.65995501475608,-9.908643557038875,Inside,Inside,Correct
1,51.65863325058697,-9.902885562006533,Inside,Inside,Correct
1,51.649771472686915,-9.896332771792173,Outside,Outside,Correct
1,51.64784760350816,-9.897136033834311,Outside,Outside,Correct
1,51.6420659651628,-9.911298125326372,Outside,Outside,Correct
1,51.65983731447937,-9.907588738254386,Inside,Inside,Correct
1,51.65585085470498,-9.89842240246065,Inside,Inside,Correct
1,51.65228762020839,-9.896323001514158,Inside,Inside,Correct
1,51.65903390967245,-9.904005179790417,Inside,Inside,Correct
1,51.655932411288994,-9.898506354854613,Inside,Inside,Correct
1,51.64206127755529,-9.910276018432361,Outside,Outside,Correct
1,51.645963284254705,-9.898727802316955,Outside,Outside,Correct
1,51.64783153999053,-9.897145931646271,Outside,Outside,Correct
1,51.64594833680368,-9.898744366431064,Outside,Outside,Correct
1,51.64567063402141,-9.899065481564675,Outside,Outside,Correct
1,51.64301567010658,-9.917189377595097,Outside,Outside,Correct
1,51.6590579066958,-9.917279732576546,Inside,Inside,Correct
1,51.655897307406086,-9.89846997553618,Inside,Inside,Correct
1,51.64210412120025,-9.909210494313005,Outside,Outside,Correct
1,51.65642401259857,-9.922303357839132,Inside,Inside,Correct
1,51.655231225362165,-9.9235136699121,Inside,Inside,Correct
1,51.65637105299386,-9.898993532563361,Inside,Inside,Correct
1,51.643768057720145,-9.902176406265996,Outside,Outside,Correct
1,51.64261937901298,-9.915721847880423,Outside,Outside,Correct
1,51.65758794959821,-9.900725498538861,Inside,Inside,Correct
1,51.6453958526405,-9.899409688498933,Outside,Outside,Correct
1,51.65700915333622,-9.92153720536246,Inside,Inside,Correct
1,51.65105,-9.910680000000001,Inside,Inside,Correct
2,51.64967982788727,-9.912055560335887,Inside,Inside,Correct
2,51.651138235554306,-9.91187531609108,Inside,Inside,Correct
2,51.64399240826215,-9.919386743058665,Inside,Inside,Correct
2,51.65038898607401,-9.910526358615774,Inside,Inside,Correct
2,51.6510115170003,-9.914371086419195,Inside,Inside,Correct
2,51.655151881655215,-9.923417512463407,Inside,Inside,Correct
2,51.652039973105204,-9.9140165608993,Inside,Inside,Correct
2,51.65018327612921,-9.904118552541183,Inside,Inside,Correct
2,51.6499487548523,-9.911636639140072,Inside,Inside,Correct
2,51.64881588362003,-9.923380301390141,Inside,Inside,Correct
2,51.656999649884774,-9.920349648883668,Inside,Inside,Correct
2,51.65483403548623,-9.906007851471013,Inside,Inside,Correct
2,51.65123616159116,-9.911168704336795,Inside,Inside,Correct
2,51.64306862440735,-9.916614359519794,Inside,Inside,Correct
2,51.650123447404575,-9.911236067349611,Inside,Inside,Correct
2,51.654970778764365,-9.906623415301658,Inside,Inside,Correct
2,51.64719577266854,-9.910160608241624,Inside,Inside,Correct
2,51.64894878555757,-9.91608811386777,Inside,Inside,Correct
2,51.65086376251056,-9.911463776431058,Inside,Inside,Correct
2,51.65680936869189,-9.907060897229641,Inside,Inside,Correct
2,51.650292284399,-9.910219424805337,Inside,Inside,Correct
2,51.65385953039247,-9.902632417499715,Inside,Inside,Correct
2,51.64991419375562,-9.911517012204833,Inside,Inside,Correct
2,51.6481900048749,-9.899229948856334,Inside,Inside,Correct
2,51.65313842130529,-9.897222903892379,Inside,Inside,Correct
2,51.658618671836884,-9.911154719227559,Inside,Inside,Correct
2,51.65460589466581,-9.897664803064204,Inside,Inside,Correct
2,51.6499354623134,-9.906216936169859,Inside,Inside,Correct
2,51.64934000146783,-9.91281495874997,Inside,Inside,Correct
2,51.651248465350875,-9.910148220254232,Inside,Inside,Correct
2,51.650457468250586,-9.894973774738075,Outside,Outside,Correct
2,51.663145139343456,-9.901662128352969,Outside,Outside,Correct
2,51.64456278914143,-9.891685509037444,Outside,Outside,Correct
2,51.64263340810714,-9.904184221852812,Outside,Outside,Correct
2,51.65824862539767,-9.90116867078908,Outside,Outside,Correct
2,51.65201190717818,-9.93010031272521,Outside,Outside,Correct
2,51.66632835745671,-9.911641519235918,Outside,Outside,Correct
2,51.65735746908535,-9.924812550914995,Outside,Outside,Correct
2,51.65485202526068,-9.92583631394092,Outside,Outside,Correct
2,51.661070992028165,-9.922804091281128,Outside,Outside,Correct
2,51.65850001325012,-9.93245411499676,Outside,Outside,Correct
2,51.63808763240089,-9.930399743659967,Outside,Outside,Correct
2,51.64208597826561,-9.907452037920429,Outside,Outside,Correct
